Type of election,Year,State,Constituency no,Constituency name,Constituency type,Turnout,Candidate name,Party/Alliance
Lok Sabha,2014,PUNJAB,812,ANANDPUR SAHIB,GEN,69.44,PREM SINGH CHANDUMAJRA,SAD
Lok Sabha,2014,ANDHRA PRADESH,377,ANANTAPUR,GEN,78.41,JUTUR CHINNA REDDY DIVAKAR REDDY,TDP
Lok Sabha,2014,JAMMU & KASHMIR,825,ANANTNAG,GEN,28.84,MEHBOOBA MUFTI,JKPDP
Lok Sabha,2014,ANDAMAN & NICOBAR ISLANDS,213,ANDAMAN & NICOBAR ISLANDS,GEN,70.66,BISHNU PADA RAY,BJP
Lok Sabha,2014,UTTAR PRADESH,760,AONLA,GEN,60.21,DHARMENDRA KUMAR,BJP
Lok Sabha,2014,TAMIL NADU,362,ARAKKONAM,GEN,77.7,HARI G.,AIADMK
Lok Sabha,2014,ANDHRA PRADESH,441,ARAKU,ST,71.47,KOTHAPALLI GEETHA,Yuvajana Sramika Rythu Congress Party
Lok Sabha,2014,WEST BENGAL,542,ARAMBAG,SC,85.11,APARUPA PODDAR ALIAS AFRIN ALI,AITC
Lok Sabha,2014,TAMIL NADU,349,ARANI,GEN,80.02,V. ELUMALAI,AIADMK
Lok Sabha,2014,BIHAR,683,ARARIA,GEN,61.47,TASLIMUDDIN,RJD
Lok Sabha,2014,BIHAR,640,ARRAH,GEN,48.75,RAJ KUMAR SINGH,BJP
Lok Sabha,2014,ARUNACHAL PRADESH,787,ARUNACHAL EAST,GEN,83.51,NINONG ERING,INC
Lok Sabha,2014,ARUNACHAL PRADESH,779,ARUNACHAL WEST,GEN,75.17,KIREN RIJIJU,BJP
Lok Sabha,2014,WEST BENGAL,569,ASANSOL,GEN,77.73,BABUL SUPRIYA BORAL (BABUL SUPRIYO),BJP
Lok Sabha,2014,ORISSA,457,ASKA,GEN,63.62,LADU KISHORE SWAIN,BJD
Lok Sabha,2014,KERALA,302,ATTINGAL,GEN,68.67,DR. A. SAMPATH,CPI(M)
Lok Sabha,2014,BIHAR,606,AURANGABAD,GEN,51.18,SUSHIL KUMAR SINGH,BJP
Lok Sabha,2014,MAHARASHTRA,606,AURANGABAD,GEN,61.84,CHANDRAKANT BHAURAO KHAIRE,SHS
Lok Sabha,2014,ASSAM,685,AUTONOMOUS DISTRICT,ST,77.4,BIREN SINGH ENGTI,INC
Lok Sabha,2014,UTTAR PRADESH,672,AZAMGARH,GEN,56.38,MULAYAM SINGH YADAV,SP
Lok Sabha,2014,UTTAR PRADESH,758,BADAUN,GEN,58.08,DHARMENDRA YADAV,SP
Lok Sabha,2014,KARNATAKA,393,BAGALKOT,GEN,68.81,P.C. GADDIGOUDAR,BJP
Lok Sabha,2014,UTTAR PRADESH,785,BAGHPAT,GEN,66.72,DR. SATYAPAL SINGH,BJP
Lok Sabha,2014,WEST BENGAL,582,BAHARAMPUR,GEN,79.42,ADHIR RANJAN CHOWDHURY,INC
Lok Sabha,2014,UTTAR PRADESH,756,BAHRAICH,SC,57.01,SADHVI SAVITRI BAI PHOOLE,BJP
Lok Sabha,2014,MADHYA PRADESH,515,BALAGHAT,GEN,68.31,BODH SINGH BHAGAT,BJP
Lok Sabha,2014,ORISSA,499,BALASORE,GEN,76.81,RABINDRA KUMAR JENA,BJD
Lok Sabha,2014,UTTAR PRADESH,650,BALLIA,GEN,53.28,BHARAT SINGH,BJP
Lok Sabha,2014,WEST BENGAL,632,BALURGHAT,GEN,84.74,ARPITA GHOSH,AITC
Lok Sabha,2014,GUJARAT,599,BANASKANTHA,GEN,58.5,CHAUDHARY HARIBHAI PARTHIBHAI,BJP
Lok Sabha,2014,UTTAR PRADESH,637,BANDA,GEN,53.58,BHAIRON PRASAD MISHRA,BJP
Lok Sabha,2014,KARNATAKA,357,BANGALORE CENTRAL,GEN,55.63,P.C. MOHAN,BJP
Lok Sabha,2014,KARNATAKA,160,BANGALORE NORTH,GEN,56.5,D.V. SADANANDA GOWDA,BJP
Lok Sabha,2014,KARNATAKA,360,BANGALORE RURAL,GEN,66.44,D.K. SURESH,INC
Lok Sabha,2014,KARNATAKA,352,BANGALORE SOUTH,GEN,55.69,ANANTH KUMAR,BJP
Lok Sabha,2014,WEST BENGAL,550,BANGAON,SC,83.32,KAPIL KRISHNA THAKUR,AITC
Lok Sabha,2014,BIHAR,618,BANKA,GEN,58.04,JAIPRAKASH NARAYAN YADAV,RJD
Lok Sabha,2014,WEST BENGAL,566,BANKURA,GEN,82.21,SREEMATI DEV VARMA (MOON MOON SEN),AITC
Lok Sabha,2014,UTTAR PRADESH,694,BANSGAON,SC,49.88,KAMLESH PASWAN,BJP
Lok Sabha,2014,RAJASTHAN,577,BANSWARA,ST,69.2,MANSHANKAR NINAMA,BJP
Lok Sabha,2014,ANDHRA PRADESH,388,BAPATLA,SC,85.04,MALYADRI SRIRAM,TDP
Lok Sabha,2014,UTTAR PRADESH,725,BARABANKI,SC,62.06,PRIYANKA SINGH RAWAT,BJP
Lok Sabha,2014,MAHARASHTRA,429,BARAMATI,GEN,58.81,SUPRIYA SULE,NCP
Lok Sabha,2014,JAMMU & KASHMIR,827,BARAMULLA,GEN,39.13,MUZAFFAR HUSSAIN BAIG,JKPDP
Lok Sabha,2014,WEST BENGAL,537,BARASAT,GEN,83.91,DR. KAKALI GHOSHDOSTIDAR,AITC
Lok Sabha,2014,WEST BENGAL,563,BARDHAMAN PURBA,SC,86.21,SUNIL KUMAR MONDAL,AITC
Lok Sabha,2014,WEST BENGAL,28,BARDHAMAN-DURGAPUR,GEN,84.07,MAMTAZ SANGHAMITA,AITC
